Database name	PTHTS example
Database link	local
Evaluation signature	synthetic-Experiment_090826_1
Plate Name	Example plate
Barcode	EXAMPLE-0001
Measurement	Experiment_090826_1
Evaluation	Evaluation1
Export type	PlateResults
[Data]
Row	Column	Plane	Timepoint	Time [s]	Number of Analyzed Fields	Height [µm]	Temperature	Target Temperature	CO2	Target CO2	Compound	Concentration	Cell Type	Cells - Number of Objects	Cells - Intensity Cell Alexa 488 Mean - Mean per Well
3	3	1	5	8.4	2	3.2	37.0	37.0	5.0	5.0	Vehicle		Example cells	48	3432.09
3	3	1	6	10.5	2	3.2	37.0	37.0	5.0	5.0	Vehicle		Example cells	48	3426.28
3	3	1	7	12.6	2	3.2	37.0	37.0	5.0	5.0	Vehicle		Example cells	48	4090.56
3	3	1	8	14.7	2	3.2	37.0	37.0	5.0	5.0	Vehicle		Example cells	48	3763.65
3	3	1	9	16.8	2	3.2	37.0	37.0	5.0	5.0	Vehicle		Example cells	48	3676.75
3	3	1	10	18.9	2	3.2	37.0	37.0	5.0	5.0	Vehicle		Example cells	48	3555.4
3	3	1	11	21.0	2	3.2	37.0	37.0	5.0	5.0	Vehicle		Example cells	48	3487.1
3	3	1	12	23.1	2	3.2	37.0	37.0	5.0	5.0	Vehicle		Example cells	48	3449.97
3	3	1	13	25.2	2	3.2	37.0	37.0	5.0	5.0	Vehicle		Example cells	48	3432.68
3	3	1	14	27.3	2	3.2	37.0	37.0	5.0	5.0	Vehicle		Example cells	48	3419.7
3	3	1	15	29.4	2	3.2	37.0	37.0	5.0	5.0	Vehicle		Example cells	48	3410.63
3	3	1	16	31.5	2	3.2	37.0	37.0	5.0	5.0	Vehicle		Example cells	48	3404.98
3	3	1	17	33.6	2	3.2	37.0	37.0	5.0	5.0	Vehicle		Example cells	48	3401.89
3	3	1	18	35.7	2	3.2	37.0	37.0	5.0	5.0	Vehicle		Example cells	48	3396.94
3	3	1	19	37.8	2	3.2	37.0	37.0	5.0	5.0	Vehicle		Example cells	48	3395.23
3	3	1	20	39.9	2	3.2	37.0	37.0	5.0	5.0	Vehicle		Example cells	48	3394.01
3	3	1	21	42.0	2	3.2	37.0	37.0	5.0	5.0	Vehicle		Example cells	48	9446.48
3	3	1	22	44.1	2	3.2	37.0	37.0	5.0	5.0	Vehicle		Example cells	48	10544.17
3	3	1	23	46.2	2	3.2	37.0	37.0	5.0	5.0	Vehicle		Example cells	48	9314.06
3	3	1	24	48.3	2	3.2	37.0	37.0	5.0	5.0	Vehicle		Example cells	48	8298.65
3	3	1	25	50.4	2	3.2	37.0	37.0	5.0	5.0	Vehicle		Example cells	48	7458.88
3	3	1	26	52.5	2	3.2	37.0	37.0	5.0	5.0	Vehicle		Example cells	48	6762.24
3	3	1	27	54.6	2	3.2	37.0	37.0	5.0	5.0	Vehicle		Example cells	48	6189.9
3	4	1	1	0.0	2	3.2	37.0	37.0	5.0	5.0	Vehicle		Example cells	12	3323.89
3	4	1	2	2.1	2	3.2	37.0	37.0	5.0	5.0	Vehicle		Example cells	12	3319.77
3	4	1	3	4.2	2	3.2	37.0	37.0	5.0	5.0	Vehicle		Example cells	12	3315.64
3	4	1	4	6.3	2	3.2	37.0	37.0	5.0	5.0	Vehicle		Example cells	12	3317.39
3	4	1	5	8.4	2	3.2	37.0	37.0	5.0	5.0	Vehicle		Example cells	12	3325.61
3	4	1	6	10.5	2	3.2	37.0	37.0	5.0	5.0	Vehicle		Example cells	12	3327.99
3	4	1	7	12.6	2	3.2	37.0	37.0	5.0	5.0	Vehicle		Example cells	12	3406.32
3	4	1	8	14.7	2	3.2	37.0	37.0	5.0	5.0	Vehicle		Example cells	12	3370.74
3	4	1	9	16.8	2	3.2	37.0	37.0	5.0	5.0	Vehicle		Example cells	12	3361.84
3	4	1	10	18.9	2	3.2	37.0	37.0	5.0	5.0	Vehicle		Example cells	12	3342.78
3	4	1	11	21.0	2	3.2	37.0	37.0	5.0	5.0	Vehicle		Example cells	12	3339.55
3	4	1	12	23.1	2	3.2	37.0	37.0	5.0	5.0	Vehicle		Example cells	12	3337.24
3	4	1	13	25.2	2	3.2	37.0	37.0	5.0	5.0	Vehicle		Example cells	12	3330.57
3	4	1	14	27.3	2	3.2	37.0	37.0	5.0	5.0	Vehicle		Example cells	12	3327.73
3	4	1	15	29.4	2	3.2	37.0	37.0	5.0	5.0	Vehicle		Example cells	12	3324.0
3	4	1	16	31.5	2	3.2	37.0	37.0	5.0	5.0	Vehicle		Example cells	12	3328.74
3	4	1	17	33.6	2	3.2	37.0	37.0	5.0	5.0	Vehicle		Example cells	12	3323.97
3	4	1	18	35.7	2	3.2	37.0	37.0	5.0	5.0	Vehicle		Example cells	12	3325.54
3	4	1	19	37.8	2	3.2	37.0	37.0	5.0	5.0	Vehicle		Example cells	12	3327.5
3	4	1	20	39.9	2	3.2	37.0	37.0	5.0	5.0	Vehicle		Example cells	12	3321.14
3	4	1	21	42.0	2	3.2	37.0	37.0	5.0	5.0	Vehicle		Example cells	12	4122.64
3	4	1	22	44.1	2	3.2	37.0	37.0	5.0	5.0	Vehicle		Example cells	12	4284.14
3	4	1	23	46.2	2	3.2	37.0	37.0	5.0	5.0	Vehicle		Example cells	12	4135.02
3	4	1	24	48.3	2	3.2	37.0	37.0	5.0	5.0	Vehicle		Example cells	12	4000.09
3	4	1	25	50.4	2	3.2	37.0	37.0	5.0	5.0	Vehicle		Example cells	12	3893.69
3	4	1	26	52.5	2	3.2	37.0	37.0	5.0	5.0	Vehicle		Example cells	12	3798.82
3	4	1	27	54.6	2	3.2	37.0	37.0	5.0	5.0	Vehicle		Example cells	12	3730.44
