Database name	PTHTS example
Database link	local
Evaluation signature	synthetic-Experiment_090826_1
Plate Name	Example plate
Barcode	EXAMPLE-0001
Measurement	Experiment_090826_1
Evaluation	Evaluation1
Export type	Objects
Population	Cells
[Data]
Row	Column	Plane	Timepoint	Field	Object No	X	Y	Bounding Box	Position X [µm]	Position Y [µm]	Cells - Intensity Cell Alexa 488 Mean	Cells - Cell Area [µm²]	Cells - Cell Roundness	Compound	Concentration	Cell Type
2	2	1	1	2	16	57	829	[48, 820, 66, 839]	34.2	497.7	3353.65	123.12	0.709	Compound A 10 uM		Example cells
2	2	1	1	2	17	354	395	[338, 386, 370, 404]	212.4	237.0	2785.58	207.36	0.861	Compound A 10 uM		Example cells
2	2	1	1	2	18	811	725	[795, 709, 828, 741]	486.9	435.0	3194.95	380.16	0.839	Compound A 10 uM		Example cells
2	2	1	1	2	19	58	727	[38, 713, 79, 741]	35.1	436.2	3917.15	413.28	0.925	Compound A 10 uM		Example cells
2	2	1	2	1	1	332	600	[320, 585, 344, 615]	199.2	360.0	4126.86	259.2	0.695	Compound A 10 uM		Example cells
2	2	1	2	1	2	69	721	[54, 704, 85, 738]	41.7	432.6	4979.53	379.44	0.859	Compound A 10 uM		Example cells
2	2	1	2	1	3	776	259	[759, 247, 794, 271]	465.9	155.4	4386.4	302.4	0.948	Compound A 10 uM		Example cells
2	2	1	2	1	4	846	68	[828, 56, 865, 80]	507.9	40.8	6106.87	319.68	0.809	Compound A 10 uM		Example cells
2	2	1	2	1	5	721	470	[703, 458, 740, 482]	432.9	282.0	6033.88	319.68	0.718	Compound A 10 uM		Example cells
2	2	1	2	1	6	659	201	[560, 119, 759, 283]	395.7	120.6	3672.0	11748.96	0.774	Compound A 10 uM		Example cells
2	2	1	2	1	7	600	276	[583, 267, 618, 285]	360.3	165.6	3872.27	226.8	0.755	Compound A 10 uM		Example cells
2	2	1	2	1	8	734	218	[719, 199, 749, 238]	440.4	131.1	3279.6	421.2	0.739	Compound A 10 uM		Example cells
2	2	1	2	1	9	590	264	[574, 246, 607, 282]	354.3	158.4	4900.12	427.68	0.892	Compound A 10 uM		Example cells
2	2	1	2	1	10	445	518	[435, 498, 455, 539]	267.0	311.1	2807.84	295.2	0.916	Compound A 10 uM		Example cells
2	2	1	2	1	11	825	643	[811, 631, 840, 656]	495.3	386.1	4312.36	261.0	0.815	Compound A 10 uM		Example cells
2	2	1	2	1	12	265	784	[247, 773, 284, 795]	159.3	470.4	3463.44	293.04	0.735	Compound A 10 uM		Example cells
2	2	1	2	1	13	307	276	[294, 258, 321, 294]	184.5	165.6	3511.67	349.92	0.64	Compound A 10 uM		Example cells
2	2	1	2	1	14	321	34	[305, 24, 338, 44]	192.9	20.4	4342.54	237.6	0.59	Compound A 10 uM		Example cells
2	2	1	2	1	15	90	68	[81, 51, 99, 86]	54.0	41.1	3910.81	226.8	0.698	Compound A 10 uM		Example cells
2	2	1	2	1	16	400	685	[383, 665, 417, 706]	240.0	411.3	3296.6	501.84	0.598	Compound A 10 uM		Example cells
2	2	1	2	1	17	504	632	[485, 613, 523, 651]	302.4	379.2	3135.5	519.84	0.845	Compound A 10 uM		Example cells
2	2	1	2	1	18	539	43	[537, 40, 542, 46]	323.7	25.8	4035.89	10.8	0.646	Compound A 10 uM		Example cells
2	2	1	2	1	19	822	329	[802, 313, 842, 346]	493.2	197.7	3666.63	475.2	0.863	Compound A 10 uM		Example cells
2	2	1	2	1	20	158	717	[146, 697, 171, 737]	95.1	430.2	3228.57	360.0	0.552	Compound A 10 uM		Example cells
2	2	1	2	1	21	788	155	[778, 139, 798, 172]	472.8	93.3	4170.68	237.6	0.882	Compound A 10 uM		Example cells
2	2	1	2	1	22	275	516	[259, 506, 291, 526]	165.0	309.6	2834.77	230.4	0.846	Compound A 10 uM		Example cells
2	2	1	2	2	1	592	42	[572, 22, 613, 63]	355.5	25.5	4417.61	605.16	0.644	Compound A 10 uM		Example cells
2	2	1	2	2	2	45	816	[30, 804, 60, 829]	27.0	489.9	3471.89	270.0	0.808	Compound A 10 uM		Example cells
2	2	1	2	2	3	66	782	[54, 764, 78, 800]	39.6	469.2	3604.56	311.04	0.941	Compound A 10 uM		Example cells
2	2	1	2	2	4	200	844	[185, 834, 215, 854]	120.0	506.4	3664.93	216.0	0.895	Compound A 10 uM		Example cells
2	2	1	2	2	5	45	239	[32, 220, 58, 258]	27.0	143.4	2095.68	355.68	0.648	Compound A 10 uM		Example cells
2	2	1	2	2	6	363	416	[351, 404, 376, 429]	218.1	249.9	4630.87	225.0	0.635	Compound A 10 uM		Example cells
2	2	1	2	2	7	440	720	[423, 711, 457, 730]	264.0	432.3	3216.08	232.56	0.92	Compound A 10 uM		Example cells
2	2	1	2	2	8	362	512	[344, 492, 380, 533]	217.2	307.5	4730.56	531.36	0.97	Compound A 10 uM		Example cells
2	2	1	2	2	9	360	869	[351, 855, 370, 883]	216.3	521.4	4458.07	191.52	0.636	Compound A 10 uM		Example cells
2	2	1	2	2	10	781	410	[763, 393, 800, 428]	468.9	246.3	3956.56	466.2	0.742	Compound A 10 uM		Example cells
2	2	1	2	2	11	96	714	[82, 698, 110, 731]	57.6	428.7	3163.9	332.64	0.966	Compound A 10 uM		Example cells
2	2	1	2	2	12	241	334	[232, 319, 250, 349]	144.6	200.4	3289.54	194.4	0.854	Compound A 10 uM		Example cells
2	2	1	2	2	13	459	767	[441, 757, 478, 778]	275.7	460.5	3010.8	279.72	0.584	Compound A 10 uM		Example cells
2	2	1	2	2	14	672	543	[656, 533, 689, 554]	403.5	326.1	3158.2	249.48	0.957	Compound A 10 uM		Example cells
2	2	1	2	2	15	820	246	[810, 232, 830, 260]	492.0	147.6	3099.23	201.6	0.714	Compound A 10 uM		Example cells
2	2	1	2	2	16	57	829	[48, 820, 66, 839]	34.2	497.7	3351.03	123.12	0.766	Compound A 10 uM		Example cells
2	2	1	2	2	17	354	395	[338, 386, 370, 404]	212.4	237.0	2787.05	207.36	0.701	Compound A 10 uM		Example cells
2	2	1	2	2	18	811	725	[795, 709, 828, 741]	486.9	435.0	3193.88	380.16	0.6	Compound A 10 uM		Example cells
2	2	1	2	2	19	58	727	[38, 713, 79, 741]	35.1	436.2	3946.47	413.28	0.714	Compound A 10 uM		Example cells
2	2	1	3	1	1	332	600	[320, 585, 344, 615]	199.2	360.0	4117.72	259.2	0.718	Compound A 10 uM		Example cells
2	2	1	3	1	2	69	721	[54, 704, 85, 738]	41.7	432.6	4954.36	379.44	0.557	Compound A 10 uM		Example cells
2	2	1	3	1	3	776	259	[759, 247, 794, 271]	465.9	155.4	4354.55	302.4	0.872	Compound A 10 uM		Example cells
2	2	1	3	1	4	846	68	[828, 56, 865, 80]	507.9	40.8	6156.5	319.68	0.832	Compound A 10 uM		Example cells
2	2	1	3	1	5	721	470	[703, 458, 740, 482]	432.9	282.0	6014.3	319.68	0.874	Compound A 10 uM		Example cells
2	2	1	3	1	6	659	201	[560, 119, 759, 283]	395.7	120.6	3688.8	11748.96	0.733	Compound A 10 uM		Example cells
2	2	1	3	1	7	600	276	[583, 267, 618, 285]	360.3	165.6	3862.04	226.8	0.661	Compound A 10 uM		Example cells
2	2	1	3	1	8	734	218	[719, 199, 749, 238]	440.4	131.1	3290.96	421.2	0.883	Compound A 10 uM		Example cells
2	2	1	3	1	9	590	264	[574, 246, 607, 282]	354.3	158.4	4917.81	427.68	0.803	Compound A 10 uM		Example cells
2	2	1	3	1	10	445	518	[435, 498, 455, 539]	267.0	311.1	2812.57	295.2	0.932	Compound A 10 uM		Example cells
2	2	1	3	1	11	825	643	[811, 631, 840, 656]	495.3	386.1	4302.86	261.0	0.667	Compound A 10 uM		Example cells
2	2	1	3	1	12	265	784	[247, 773, 284, 795]	159.3	470.4	3451.68	293.04	0.678	Compound A 10 uM		Example cells
2	2	1	3	1	13	307	276	[294, 258, 321, 294]	184.5	165.6	3515.67	349.92	0.819	Compound A 10 uM		Example cells
2	2	1	3	1	14	321	34	[305, 24, 338, 44]	192.9	20.4	4318.59	237.6	0.654	Compound A 10 uM		Example cells
2	2	1	3	1	15	90	68	[81, 51, 99, 86]	54.0	41.1	3927.48	226.8	0.791	Compound A 10 uM		Example cells
2	2	1	3	1	16	400	685	[383, 665, 417, 706]	240.0	411.3	3291.44	501.84	0.881	Compound A 10 uM		Example cells
2	2	1	3	1	17	504	632	[485, 613, 523, 651]	302.4	379.2	3136.89	519.84	0.882	Compound A 10 uM		Example cells
2	2	1	3	1	18	539	43	[537, 40, 542, 46]	323.7	25.8	4030.32	10.8	0.852	Compound A 10 uM		Example cells
2	2	1	3	1	19	822	329	[802, 313, 842, 346]	493.2	197.7	3646.65	475.2	0.662	Compound A 10 uM		Example cells
2	2	1	3	1	20	158	717	[146, 697, 171, 737]	95.1	430.2	3246.26	360.0	0.564	Compound A 10 uM		Example cells
2	2	1	3	1	21	788	155	[778, 139, 798, 172]	472.8	93.3	4140.77	237.6	0.979	Compound A 10 uM		Example cells
2	2	1	3	1	22	275	516	[259, 506, 291, 526]	165.0	309.6	2836.01	230.4	0.976	Compound A 10 uM		Example cells
2	2	1	3	2	1	592	42	[572, 22, 613, 63]	355.5	25.5	4421.33	605.16	0.835	Compound A 10 uM		Example cells
2	2	1	3	2	2	45	816	[30, 804, 60, 829]	27.0	489.9	3461.77	270.0	0.973	Compound A 10 uM		Example cells
2	2	1	3	2	3	66	782	[54, 764, 78, 800]	39.6	469.2	3612.57	311.04	0.798	Compound A 10 uM		Example cells
2	2	1	3	2	4	200	844	[185, 834, 215, 854]	120.0	506.4	3649.4	216.0	0.604	Compound A 10 uM		Example cells
2	2	1	3	2	5	45	239	[32, 220, 58, 258]	27.0	143.4	2092.5	355.68	0.625	Compound A 10 uM		Example cells
2	2	1	3	2	6	363	416	[351, 404, 376, 429]	218.1	249.9	4598.33	225.0	0.713	Compound A 10 uM		Example cells
2	2	1	3	2	7	440	720	[423, 711, 457, 730]	264.0	432.3	3212.24	232.56	0.86	Compound A 10 uM		Example cells
2	2	1	3	2	8	362	512	[344, 492, 380, 533]	217.2	307.5	4680.18	531.36	0.576	Compound A 10 uM		Example cells
2	2	1	3	2	9	360	869	[351, 855, 370, 883]	216.3	521.4	4443.79	191.52	0.73	Compound A 10 uM		Example cells
2	2	1	3	2	10	781	410	[763, 393, 800, 428]	468.9	246.3	3956.7	466.2	0.801	Compound A 10 uM		Example cells
2	2	1	3	2	11	96	714	[82, 698, 110, 731]	57.6	428.7	3158.5	332.64	0.74	Compound A 10 uM		Example cells
2	2	1	3	2	12	241	334	[232, 319, 250, 349]	144.6	200.4	3285.51	194.4	0.662	Compound A 10 uM		Example cells
2	2	1	3	2	13	459	767	[441, 757, 478, 778]	275.7	460.5	3005.34	279.72	0.793	Compound A 10 uM		Example cells
2	2	1	3	2	14	672	543	[656, 533, 689, 554]	403.5	326.1	3167.54	249.48	0.775	Compound A 10 uM		Example cells
2	2	1	3	2	15	820	246	[810, 232, 830, 260]	492.0	147.6	3117.65	201.6	0.935	Compound A 10 uM		Example cells
2	2	1	3	2	16	57	829	[48, 820, 66, 839]	34.2	497.7	3362.39	123.12	0.592	Compound A 10 uM		Example cells
2	2	1	3	2	17	354	395	[338, 386, 370, 404]	212.4	237.0	2805.26	207.36	0.791	Compound A 10 uM		Example cells
2	2	1	3	2	18	811	725	[795, 709, 828, 741]	486.9	435.0	3189.36	380.16	0.886	Compound A 10 uM		Example cells
2	2	1	3	2	19	58	727	[38, 713, 79, 741]	35.1	436.2	3929.49	413.28	0.854	Compound A 10 uM		Example cells
2	2	1	4	1	1	332	600	[320, 585, 344, 615]	199.2	360.0	4121.61	259.2	0.933	Compound A 10 uM		Example cells
2	2	1	4	1	2	69	721	[54, 704, 85, 738]	41.7	432.6	4947.01	379.44	0.876	Compound A 10 uM		Example cells
2	2	1	4	1	3	776	259	[759, 247, 794, 271]	465.9	155.4	4370.31	302.4	0.92	Compound A 10 uM		Example cells
2	2	1	4	1	4	846	68	[828, 56, 865, 80]	507.9	40.8	6100.31	319.68	0.943	Compound A 10 uM		Example cells
2	2	1	4	1	5	721	470	[703, 458, 740, 482]	432.9	282.0	5990.47	319.68	0.739	Compound A 10 uM		Example cells
2	2	1	4	1	6	659	201	[560, 119, 759, 283]	395.7	120.6	3714.65	11748.96	0.567	Compound A 10 uM		Example cells
2	2	1	4	1	7	600	276	[583, 267, 618, 285]	360.3	165.6	3865.1	226.8	0.617	Compound A 10 uM		Example cells
2	2	1	4	1	8	734	218	[719, 199, 749, 238]	440.4	131.1	3274.99	421.2	0.765	Compound A 10 uM		Example cells
2	2	1	4	1	9	590	264	[574, 246, 607, 282]	354.3	158.4	4938.12	427.68	0.606	Compound A 10 uM		Example cells
2	2	1	4	1	10	445	518	[435, 498, 455, 539]	267.0	311.1	2794.24	295.2	0.582	Compound A 10 uM		Example cells
2	2	1	4	1	11	825	643	[811, 631, 840, 656]	495.3	386.1	4341.09	261.0	0.716	Compound A 10 uM		Example cells
2	2	1	4	1	12	265	784	[247, 773, 284, 795]	159.3	470.4	3484.46	293.04	0.97	Compound A 10 uM		Example cells
2	2	1	4	1	13	307	276	[294, 258, 321, 294]	184.5	165.6	3518.81	349.92	0.764	Compound A 10 uM		Example cells
2	2	1	4	1	14	321	34	[305, 24, 338, 44]	192.9	20.4	4326.04	237.6	0.896	Compound A 10 uM		Example cells
2	2	1	4	1	15	90	68	[81, 51, 99, 86]	54.0	41.1	3937.08	226.8	0.559	Compound A 10 uM		Example cells
2	2	1	4	1	16	400	685	[383, 665, 417, 706]	240.0	411.3	3303.03	501.84	0.559	Compound A 10 uM		Example cells
2	2	1	4	1	17	504	632	[485, 613, 523, 651]	302.4	379.2	3109.39	519.84	0.721	Compound A 10 uM		Example cells
2	2	1	4	1	18	539	43	[537, 40, 542, 46]	323.7	25.8	4034.12	10.8	0.902	Compound A 10 uM		Example cells
2	2	1	4	1	19	822	329	[802, 313, 842, 346]	493.2	197.7	3632.94	475.2	0.762	Compound A 10 uM		Example cells
2	2	1	4	1	20	158	717	[146, 697, 171, 737]	95.1	430.2	3221.86	360.0	0.976	Compound A 10 uM		Example cells
2	2	1	4	1	21	788	155	[778, 139, 798, 172]	472.8	93.3	4183.17	237.6	0.584	Compound A 10 uM		Example cells
2	2	1	4	1	22	275	516	[259, 506, 291, 526]	165.0	309.6	2846.08	230.4	0.589	Compound A 10 uM		Example cells
2	2	1	4	2	1	592	42	[572, 22, 613, 63]	355.5	25.5	4421.78	605.16	0.64	Compound A 10 uM		Example cells
2	2	1	4	2	2	45	816	[30, 804, 60, 829]	27.0	489.9	3450.79	270.0	0.854	Compound A 10 uM		Example cells
2	2	1	4	2	3	66	782	[54, 764, 78, 800]	39.6	469.2	3637.97	311.04	0.569	Compound A 10 uM		Example cells
2	2	1	4	2	4	200	844	[185, 834, 215, 854]	120.0	506.4	3627.18	216.0	0.71	Compound A 10 uM		Example cells
2	2	1	4	2	5	45	239	[32, 220, 58, 258]	27.0	143.4	2100.16	355.68	0.796	Compound A 10 uM		Example cells
2	2	1	4	2	6	363	416	[351, 404, 376, 429]	218.1	249.9	4595.06	225.0	0.695	Compound A 10 uM		Example cells
2	2	1	4	2	7	440	720	[423, 711, 457, 730]	264.0	432.3	3219.26	232.56	0.873	Compound A 10 uM		Example cells
2	2	1	4	2	8	362	512	[344, 492, 380, 533]	217.2	307.5	4698.03	531.36	0.945	Compound A 10 uM		Example cells
2	2	1	4	2	9	360	869	[351, 855, 370, 883]	216.3	521.4	4430.33	191.52	0.871	Compound A 10 uM		Example cells
2	2	1	4	2	10	781	410	[763, 393, 800, 428]	468.9	246.3	3961.19	466.2	0.737	Compound A 10 uM		Example cells
2	2	1	4	2	11	96	714	[82, 698, 110, 731]	57.6	428.7	3169.17	332.64	0.71	Compound A 10 uM		Example cells
2	2	1	4	2	12	241	334	[232, 319, 250, 349]	144.6	200.4	3268.45	194.4	0.777	Compound A 10 uM		Example cells
2	2	1	4	2	13	459	767	[441, 757, 478, 778]	275.7	460.5	2998.49	279.72	0.719	Compound A 10 uM		Example cells
2	2	1	4	2	14	672	543	[656, 533, 689, 554]	403.5	326.1	3161.15	249.48	0.856	Compound A 10 uM		Example cells
2	2	1	4	2	15	820	246	[810, 232, 830, 260]	492.0	147.6	3099.83	201.6	0.685	Compound A 10 uM		Example cells
2	2	1	4	2	16	57	829	[48, 820, 66, 839]	34.2	497.7	3335.21	123.12	0.684	Compound A 10 uM		Example cells
2	2	1	4	2	17	354	395	[338, 386, 370, 404]	212.4	237.0	2813.21	207.36	0.816	Compound A 10 uM		Example cells
2	2	1	4	2	18	811	725	[795, 709, 828, 741]	486.9	435.0	3200.95	380.16	0.774	Compound A 10 uM		Example cells
2	2	1	4	2	19	58	727	[38, 713, 79, 741]	35.1	436.2	3925.29	413.28	0.623	Compound A 10 uM		Example cells
2	2	1	5	1	1	332	600	[320, 585, 344, 615]	199.2	360.0	4126.65	259.2	0.648	Compound A 10 uM		Example cells
2	2	1	5	1	2	69	721	[54, 704, 85, 738]	41.7	432.6	4928.71	379.44	0.77	Compound A 10 uM		Example cells
2	2	1	5	1	3	776	259	[759, 247, 794, 271]	465.9	155.4	4365.91	302.4	0.656	Compound A 10 uM		Example cells
2	2	1	5	1	4	846	68	[828, 56, 865, 80]	507.9	40.8	6107.98	319.68	0.578	Compound A 10 uM		Example cells
2	2	1	5	1	5	721	470	[703, 458, 740, 482]	432.9	282.0	6048.69	319.68	0.803	Compound A 10 uM		Example cells
2	2	1	5	1	6	659	201	[560, 119, 759, 283]	395.7	120.6	3710.72	11748.96	0.633	Compound A 10 uM		Example cells
2	2	1	5	1	7	600	276	[583, 267, 618, 285]	360.3	165.6	3865.05	226.8	0.856	Compound A 10 uM		Example cells
2	2	1	5	1	8	734	218	[719, 199, 749, 238]	440.4	131.1	3268.7	421.2	0.629	Compound A 10 uM		Example cells
2	2	1	5	1	9	590	264	[574, 246, 607, 282]	354.3	158.4	4968.76	427.68	0.586	Compound A 10 uM		Example cells
2	2	1	5	1	10	445	518	[435, 498, 455, 539]	267.0	311.1	2793.96	295.2	0.554	Compound A 10 uM		Example cells
2	2	1	5	1	11	825	643	[811, 631, 840, 656]	495.3	386.1	4340.98	261.0	0.625	Compound A 10 uM		Example cells
2	2	1	5	1	12	265	784	[247, 773, 284, 795]	159.3	470.4	3491.5	293.04	0.707	Compound A 10 uM		Example cells
2	2	1	5	1	13	307	276	[294, 258, 321, 294]	184.5	165.6	3511.04	349.92	0.631	Compound A 10 uM		Example cells
2	2	1	5	1	14	321	34	[305, 24, 338, 44]	192.9	20.4	4330.39	237.6	0.911	Compound A 10 uM		Example cells
2	2	1	5	1	15	90	68	[81, 51, 99, 86]	54.0	41.1	3916.97	226.8	0.792	Compound A 10 uM		Example cells
2	2	1	5	1	16	400	685	[383, 665, 417, 706]	240.0	411.3	3299.72	501.84	0.652	Compound A 10 uM		Example cells
2	2	1	5	1	17	504	632	[485, 613, 523, 651]	302.4	379.2	3127.8	519.84	0.601	Compound A 10 uM		Example cells
2	2	1	5	1	18	539	43	[537, 40, 542, 46]	323.7	25.8	4010.73	10.8	0.656	Compound A 10 uM		Example cells
2	2	1	5	1	19	822	329	[802, 313, 842, 346]	493.2	197.7	3638.06	475.2	0.887	Compound A 10 uM		Example cells
2	2	1	5	1	20	158	717	[146, 697, 171, 737]	95.1	430.2	3225.61	360.0	0.655	Compound A 10 uM		Example cells
2	2	1	5	1	21	788	155	[778, 139, 798, 172]	472.8	93.3	4157.22	237.6	0.854	Compound A 10 uM		Example cells
2	2	1	5	1	22	275	516	[259, 506, 291, 526]	165.0	309.6	2843.38	230.4	0.621	Compound A 10 uM		Example cells
2	2	1	5	2	1	592	42	[572, 22, 613, 63]	355.5	25.5	4414.39	605.16	0.721	Compound A 10 uM		Example cells
2	2	1	5	2	2	45	816	[30, 804, 60, 829]	27.0	489.9	3455.58	270.0	0.635	Compound A 10 uM		Example cells
2	2	1	5	2	3	66	782	[54, 764, 78, 800]	39.6	469.2	3640.52	311.04	0.884	Compound A 10 uM		Example cells
2	2	1	5	2	4	200	844	[185, 834, 215, 854]	120.0	506.4	3599.71	216.0	0.829	Compound A 10 uM		Example cells
2	2	1	5	2	5	45	239	[32, 220, 58, 258]	27.0	143.4	2099.46	355.68	0.577	Compound A 10 uM		Example cells
2	2	1	5	2	6	363	416	[351, 404, 376, 429]	218.1	249.9	4629.42	225.0	0.955	Compound A 10 uM		Example cells
2	2	1	5	2	7	440	720	[423, 711, 457, 730]	264.0	432.3	3214.98	232.56	0.717	Compound A 10 uM		Example cells
2	2	1	5	2	8	362	512	[344, 492, 380, 533]	217.2	307.5	4678.22	531.36	0.67	Compound A 10 uM		Example cells
2	2	1	5	2	9	360	869	[351, 855, 370, 883]	216.3	521.4	4410.4	191.52	0.764	Compound A 10 uM		Example cells
2	2	1	5	2	10	781	410	[763, 393, 800, 428]	468.9	246.3	3946.85	466.2	0.808	Compound A 10 uM		Example cells
2	2	1	5	2	11	96	714	[82, 698, 110, 731]	57.6	428.7	3172.53	332.64	0.787	Compound A 10 uM		Example cells
2	2	1	5	2	12	241	334	[232, 319, 250, 349]	144.6	200.4	3274.83	194.4	0.555	Compound A 10 uM		Example cells
2	2	1	5	2	13	459	767	[441, 757, 478, 778]	275.7	460.5	2993.09	279.72	0.601	Compound A 10 uM		Example cells
2	2	1	5	2	14	672	543	[656, 533, 689, 554]	403.5	326.1	3159.35	249.48	0.772	Compound A 10 uM		Example cells
2	2	1	5	2	15	820	246	[810, 232, 830, 260]	492.0	147.6	3096.11	201.6	0.836	Compound A 10 uM		Example cells
2	2	1	5	2	16	57	829	[48, 820, 66, 839]	34.2	497.7	3338.11	123.12	0.567	Compound A 10 uM		Example cells
2	2	1	5	2	17	354	395	[338, 386, 370, 404]	212.4	237.0	2800.57	207.36	0.921	Compound A 10 uM		Example cells
2	2	1	5	2	18	811	725	[795, 709, 828, 741]	486.9	435.0	3203.09	380.16	0.811	Compound A 10 uM		Example cells
2	2	1	5	2	19	58	727	[38, 713, 79, 741]	35.1	436.2	3903.18	413.28	0.609	Compound A 10 uM		Example cells
2	2	1	6	1	1	332	600	[320, 585, 344, 615]	199.2	360.0	4132.92	259.2	0.818	Compound A 10 uM		Example cells
2	2	1	6	1	2	69	721	[54, 704, 85, 738]	41.7	432.6	4915.73	379.44	0.95	Compound A 10 uM		Example cells
2	2	1	6	1	3	776	259	[759, 247, 794, 271]	465.9	155.4	4397.01	302.4	0.611	Compound A 10 uM		Example cells
